ra,dec,g_flux,r_flux,i_flux,g_flux_err,r_flux_err,i_flux_err,g_mag,r_mag,i_mag,g_mag_err,r_mag_err,i_mag_err,g_minus_r,r_minus_i,new_g,new_r,new_i
265.1023593,-32.1457292,1952.8608,654.3522,1244.0626,92.26974,69.14741,102.6679,10.9059,12.093,11.3955,0.0103,0.023,0.0179,-1.1870999999999992,0.6974999999999998,10.63332178034463,11.820471082764366,11.122894414566076
265.2489394,-32.1594716,146319.52,177548.02,45190.06,89.40594,93.26901,91.49357,6.2193,6.0093,7.495,0.0001,0.0001,0.0004,0.2099999999999999,-1.4857000000000005,5.946744330572081,5.736710416373654,7.2223927051112735
264.9617636,-32.1476073,2375.096,788.7167999999999,1522.226,86.24191,62.31716,100.3971,10.6934,11.8903,11.1764,0.0079,0.0172,0.0143,-1.1968999999999994,0.7139000000000006,10.420797079384457,11.617697271050222,10.903802161182831
265.009537,-32.1601624,289973.8,360224.0,86563.48000000001,87.77084,92.6229,91.16992,5.4767,5.2411,6.7892,0.0001,0.0001,0.0002,0.2355999999999998,-1.5480999999999998,5.204103100334091,4.968568388977648,6.516663231263321
264.9137753,-32.1515373,11552.044,10495.878,4234.255999999999,76.77603,79.96384,90.45383,8.9759,9.08,10.0656,0.0014,0.0017,0.0046,-0.1041000000000007,-0.9855999999999998,8.703352914022133,8.807453065022678,9.793057220995586
265.0527831,-32.1590341,70605.1,80767.3,21301.42,81.59194,87.38027,87.46334,7.0105,6.8645,8.3116,0.0003,0.0002,0.0009,0.1460000000000008,-1.4471000000000007,6.737909818834316,6.591911087667933,8.038978611402143
265.1651841,-32.1589318,5705.802,2021.74,2902.91,78.26326,76.00348,77.95707,9.7418,10.8683,10.4755,0.003,0.0082,0.0058,-1.1265,0.3927999999999993,9.469208257739853,10.595686740835884,10.202916071382985
265.1970442,-32.1587803,1667.3376,1036.3254000000002,805.6798,66.32306,83.22328,78.56139,11.0775,11.5938,11.8672,0.0086,0.0174,0.0212,-0.5162999999999993,-0.2734000000000005,10.804941139943166,11.321259643244916,11.594593812121442
265.0253655,-32.1594539,3840.336,2699.642,1565.3067999999998,73.79176,89.83308,68.59863,10.1717,10.5543,11.1461,0.0042,0.0072,0.0095,-0.3826,-0.591800000000001,9.899076941319347,10.281734559725688,10.873501320232284
265.1150994,-32.1598511,826.7221999999999,326.6342,424.192,88.30808,64.39346,68.98535,11.8392,12.8474,12.5637,0.0232,0.0428,0.0353,-1.0082000000000004,0.2836999999999996,11.566601000227028,12.574845861814708,12.291093815672033
265.1395969,-32.1638474,8425.246000000001,5788.562,3698.766000000001,82.99291,81.94205,103.2421,9.3186,9.7261,10.2124,0.0021,0.0031,0.0061,-0.4075000000000006,-0.4862999999999999,9.046043524395913,9.453573276791044,9.939857857926244
